Patrick
QB 	Mark Sanchez
WR 	Jarvis Landry
WR 	Donte Moncrief
WR/TE 	Mike Wallace
TE 	Clive Walford
OP 	Jaelen Strong
LB 	James Laurinaitis
DL 	Carlos Dunlap
DB 	Reshad Jones
DP 	K.J. Wright
DP 	Kam Chancellor
K 	Adam Vinatieri
BE 	Matt Ryan
BE 	Malcolm Brown
BE 	Alfred Blue
BE 	Jonathan Grimes
BE 	Zach Mettenberger
BE 	Tre McBride
BE 	DeAndre Smelter
BE 	Alex Collins
BE 	Connor Cook
BE 	Devontae Booker
BE 	Dez Bryant
BE 	Giovani Bernard
BE 	Jacoby Brissett
BE 	Jamaal Charles
BE 	Kenny Stills
BE 	Kenyan Drake
BE 	Rashard Higgins
BE 	Ronnie Hillman
BE 	Ryan Mathews
BE 	Tyler Eifert

James
QB 	Cam Newton
RB 	Derrick Henry
RB 	Eddie Lacy
RB/WR 	Larry Fitzgerald
WR 	Demaryius Thomas
WR 	Kevin White
WR/TE 	Terrelle Pryor
TE 	Owen Daniels
OP 	EJ Manuel
DL 	Alex Okafor
DB 	Barry Church
DP 	Reggie Nelson
K 	Dan Carpenter
BE 	Mark Ingram
BE 	TJ Jones
BE 	Tyler Higbee

Schex/Jeff
QB 	Eli Manning
RB 	Arian Foster
RB 	Jay Ajayi
RB/WR 	Marvin Jones
WR 	Jordy Nelson
WR 	Kelvin Benjamin
WR/TE 	Jamison Crowder
TE 	Jared Cook
OP 	Charles Sims
LB 	Lawrence Timmons
DL 	Fletcher Cox
DB 	Morgan Burnett
DP 	David Harris
DP 	Jamie Collins
K 	Matt Prater
BE 	Branden Oliver
BE 	Teddy Bridgewater
BE 	Stevan Ridley
BE 	Ryan Mallett
BE 	Marcus Murphy
BE 	Cameron Artis-Payne
BE 	Drew Brees
BE 	Jared Goff
BE 	Jonathan Stewart
BE 	Josh Gordon
BE 	Josh McCown
BE 	Kenneth Dixon
BE 	Le'Veon Bell
BE 	Paul Perkins
BE 	Tavon Austin
BE 	Thomas Davis
BE 	Tyler Boyd
BE 	Zach Miller
BE 	Benjamin Watson

Quinn
QB 	Kirk Cousins
RB 	Ameer Abdullah
RB 	Bobby Rainey
RB/WR 	Keshawn Martin
WR 	Amari Cooper
WR 	Tyler Lockett
WR/TE 	Charone Peake
TE 	Richard Rodgers
OP 	Brandon Bolden
LB 	D'Qwell Jackson
DL 	Cliff Avril
DB 	Keanu Neal
DP 	Derrick Johnson
DP 	Joey Bosa
K 	Mason Crosby
BE 	Cardale Jones
BE 	Carson Wentz
BE 	Charcandrick West
BE 	Coby Fleener
BE 	Colin Kaepernick
BE 	Corey Coleman
BE 	Delanie Walker
BE 	Jay Cutler
BE 	Jordan Hicks
BE 	Jordan Howard
BE 	Josh Doctson
BE 	Keith Marshall
BE 	Leonte Carroo
BE 	Mark Barron
BE 	Michael Thomas
BE 	Ricardo Louis
BE 	Ron Parker
BE 	Sean Lee
BE 	Spencer Ware
BE 	Tony Romo

Mitch
QB 	Jameis Winston
RB 	Jeremy Hill
RB 	Andre Williams
RB/WR 	Davante Adams
WR 	Mike Evans
WR 	Phillip Dorsett
WR/TE 	Justin Hardy
TE 	Jordan Cameron
OP 	Andrew Luck
LB 	Alec Ogletree
DL 	Khalil Mack
DB 	Ha Ha Clinton-Dix
DP 	Eric Kendricks
DP 	Jadeveon Clowney
K 	Roberto Aguayo
BE 	Anthony Barr
BE 	Antonio Brown
BE 	Brandon LaFell
BE 	Chris Johnson
BE 	Chris Moore
BE 	Christine Michael
BE 	DeAndre Washington
BE 	Josh Ferguson
BE 	Karl Joseph
BE 	Keenan Allen
BE 	Mohamed Sanu
BE 	Myles Jack
BE 	Sterling Shepard
BE 	Tim Hightower
BE 	Travis Kelce
BE 	Wendell Smallwood
